subject_id,activity_code,num_rows
1619,G,3600
1619,H,3600
1619,I,3600
1619,J,3600
1619,K,3601
1619,L,3600
1619,M,3600
1619,O,3600
1619,P,3616
1619,Q,3600
1619,R,3616
1619,S,3600
1620,A,3603
1620,B,3603
1620,C,3603
1620,D,3603
1620,E,3603
1620,F,3603
1620,G,3603
1620,H,3603
1620,I,3603
1620,J,3603
1620,K,3603
1620,L,3603
1620,M,3603
1620,O,3603
1620,P,3603
1620,Q,5907
1620,R,3603
1620,S,3603
1621,A,3600
1621,B,3600
1621,C,3600
1621,D,7918
1621,E,5816
1621,F,3600
1621,G,3602
1621,H,3600
1621,I,3600
1621,J,3600
1621,K,3600
1621,L,3600
1621,M,3600
1621,O,3600
1621,P,3600
1621,Q,3600
1621,R,3600
1621,S,3600
1622,A,3603
1622,B,3603
1622,C,3604
1622,D,3603
1622,E,3603
1622,F,3603
1622,G,3603
1622,H,3603
1622,I,3603
1622,J,3603
1622,K,3603
1622,L,3603
1622,M,3603
1622,O,3603
1622,P,3603
1622,Q,3603
1622,R,3603
1622,S,3603
1623,A,3603
1623,B,3603
1623,C,3603
1623,D,3588
1623,E,3603
1623,F,3603
1623,G,3603
1623,H,3603
1623,I,3603
1623,J,3603
1623,K,3603
1623,L,3603
1623,M,3603
1623,O,3603
1623,P,3603
1623,Q,3603
1623,R,3603
1623,S,3603
1624,A,3604
1624,B,3612
1624,C,3603
1624,D,3604
1624,E,3604
1624,F,3603
1624,G,3603
1624,H,3603
1624,I,3603
1624,J,3603
1624,K,3603
1624,L,3603
1624,M,3604
1624,O,3604
1624,P,3604
1624,Q,7933
1624,R,3603
1624,S,5643
1625,A,3603
1625,B,3604
1625,C,3616
1625,D,3604
1625,E,3603
1625,F,3603
1625,G,3603
1625,H,3603
1625,I,3604
1625,J,3603
1625,K,3603
1625,L,3603
1625,M,3604
1625,O,5402
1625,P,3604
1625,Q,3604
1625,R,3603
1625,S,3603
1626,A,3603
1626,B,3604
1626,C,3604
1626,D,3604
1626,E,3603
1626,F,3603
1626,G,3604
1626,H,3603
1626,I,3603
1626,J,3603
1626,K,6013
1626,L,3603
1626,M,3604
1626,O,3604
1626,P,3604
1626,Q,3604
1626,R,3603
1626,S,3603
1627,A,3604
1627,B,3603
1627,C,3603
1627,D,3604
1627,E,3603
1627,F,3604
1627,G,3604
1627,H,3603
1627,I,3603
1627,J,3603
1627,K,3603
1627,L,3604
1627,M,3605
1627,O,3604
1627,P,3604
1627,Q,3603
1627,R,3603
1627,S,3603
1628,A,3603
1628,B,3603
1628,C,3603
1628,D,3603
1628,E,9097
1628,F,3603
1628,G,3603
1628,H,3603
1628,I,3603
1628,J,3603
1628,K,3603
1628,L,3603
1628,M,3603
1628,O,3603
1628,P,3603
1628,Q,3603
1628,R,3603
1628,S,3603
1629,A,14412
1629,B,14412
1629,C,14412
1629,D,14416
1629,E,14412
1629,F,14412
1629,G,14412
1629,H,14476
1629,I,14412
1629,J,14412
1629,K,14412
1629,L,14412
1629,M,14408
1629,O,14412
1629,P,14408
1629,Q,14412
1629,R,14412
1629,S,14412
1630,A,3604
1630,B,3604
1630,C,3603
1630,D,3604
1630,E,3603
1630,F,3603
1630,G,3603
1630,H,3603
1630,I,3603
1630,J,3603
1630,K,3603
1630,L,3603
1630,M,3604
1630,O,3604
1630,P,3604
1630,Q,3603
1630,R,3603
1630,S,3603
1631,A,3604
1631,B,3604
1631,C,3603
1631,D,3603
1631,E,3603
1631,F,3603
1631,G,3603
1631,H,3603
1631,I,3603
1631,J,3603
1631,K,3603
1631,L,3603
1631,M,3604
1631,O,3604
1631,P,3604
1631,Q,3603
1631,R,3603
1631,S,3603
1632,A,3603
1632,B,3603
1632,C,3604
1632,D,3604
1632,E,3603
1632,F,3603
1632,G,3603
1632,H,3603
1632,I,3604
1632,J,3604
1632,K,3603
1632,L,3603
1632,M,3603
1632,O,3603
1632,P,3603
1632,Q,3603
1632,R,3603
1632,S,3603
1633,A,3603
1633,B,3603
1633,C,3603
1633,D,3603
1633,E,3603
1633,F,3603
1633,G,3603
1633,H,3603
1633,I,3603
1633,J,3603
1633,K,3603
1633,L,3603
1633,M,3603
1633,O,3603
1633,P,3603
1633,Q,3603
1633,R,3603
1633,S,3603
1634,A,3603
1634,B,3603
1634,C,3603
1634,D,3604
1634,E,3603
1634,F,3603
1634,G,3603
1634,H,3618
1634,I,3603
1634,J,3603
1634,K,3603
1634,L,3603
1634,M,3603
1634,O,3603
1634,P,3604
1634,Q,3603
1634,R,3603
1634,S,3603
1635,A,3603
1635,B,3603
1635,C,3603
1635,D,3603
1635,E,3603
1635,F,3603
1635,G,3603
1635,H,3604
1635,I,3603
1635,J,3603
1635,K,3603
1635,L,3603
1635,M,3604
1635,O,3603
1635,P,3603
1635,Q,3605
1635,R,3603
1635,S,3603
1636,A,3603
1636,B,3603
1636,C,3603
1636,D,3603
1636,E,3603
1636,F,3603
1636,G,3603
1636,H,3603
1636,I,3603
1636,J,3603
1636,K,3603
1636,L,3603
1636,M,3604
1636,O,3604
1636,P,3604
1636,Q,3603
1636,R,3603
1636,S,3603
1637,A,141
1637,B,57
1637,D,1961
1637,E,2239
1637,F,527
1637,G,833
1637,H,1327
1637,I,3315
1637,K,1479
1637,L,1189
1637,M,57
1637,O,57
1637,P,55
1637,Q,193
1637,R,1321
1637,S,72
1638,A,2188
1638,B,2249
1638,C,2351
1638,D,3920
1638,E,974
1638,F,81
1638,G,81
1638,I,80
1638,J,2508
1638,K,1062
1638,L,237
1638,M,2490
1638,P,2350
1638,Q,81
1638,R,2028
1638,S,2136
1639,A,57
1639,B,271
1639,C,2216
1639,D,82
1639,E,4193
1639,F,81
1639,G,1056
1639,H,2440
1639,I,165
1639,J,2626
1639,K,2478
1639,M,57
1639,O,60
1639,P,207
1639,Q,3335
1639,R,2184
1639,S,890
1640,A,1881
1640,B,1866
1640,D,2218
1640,F,81
1640,G,3944
1640,H,721
1640,I,1341
1640,J,156
1640,K,2716
1640,L,327
1640,M,1943
1640,O,2397
1640,P,1864
1640,Q,2408
1640,R,162
1640,S,2546
1641,A,3610
1641,B,3599
1641,C,3598
1641,D,3599
1641,E,3599
1641,F,3599
1641,G,3598
1641,H,3599
1641,I,3599
1641,J,3598
1641,K,3599
1641,L,3598
1641,M,3599
1641,O,3599
1641,P,3599
1641,Q,3599
1641,R,3598
1641,S,3598
1642,A,3599
1642,B,3599
1642,D,3599
1642,E,3599
1642,G,3598
1642,H,3599
1642,I,3605
1642,J,3598
1642,K,3598
1642,L,6134
1642,M,3599
1642,O,3599
1642,P,3599
1642,Q,3598
1642,R,3598
1642,S,3598
1643,A,3598
1643,B,3598
1643,C,3598
1643,D,3599
1643,E,3598
1643,F,3598
1643,G,3598
1643,H,3598
1643,I,3598
1643,J,3598
1643,K,3612
1643,L,3598
1643,M,3598
1643,O,3611
1643,P,3598
1643,Q,3598
1643,R,3598
1643,S,3598
1644,A,3599
1644,B,3599
1644,C,3598
1644,D,3598
1644,E,3598
1644,F,3598
1644,G,3598
1644,H,3598
1644,I,3598
1644,J,3598
1644,K,5870
1644,L,3599
1644,M,3599
1644,O,5502
1644,P,4977
1644,Q,3598
1644,R,3598
1644,S,3598
1645,A,3599
1645,B,3599
1645,C,5763
1645,D,3599
1645,E,3598
1645,F,3598
1645,G,3599
1645,H,4307
1645,I,3598
1645,J,3598
1645,K,3598
1645,L,3613
1645,M,3599
1645,O,3599
1645,P,3599
1645,Q,3598
1645,R,3599
1645,S,3599
1646,A,3599
1646,B,3599
1646,C,3600
1646,D,3598
1646,E,3598
1646,F,3598
1646,G,3598
1646,H,3598
1646,I,3598
1646,J,3598
1646,K,3598
1646,L,3598
1646,M,3599
1646,O,3599
1646,P,3599
1646,Q,3598
1646,R,3599
1646,S,3598
1647,A,3602
1647,B,4263
1647,C,3602
1647,D,3602
1647,E,3602
1647,F,3602
1647,G,3601
1647,H,3602
1647,I,3602
1647,J,3601
1647,K,3602
1647,L,3602
1647,M,3602
1647,O,3602
1647,P,3602
1647,Q,3601
1647,R,3601
1647,S,3601
1648,A,3599
1648,B,3600
1648,C,3599
1648,D,3598
1648,E,3613
1648,F,3598
1648,G,3598
1648,H,3599
1648,I,3598
1648,J,3598
1648,K,3608
1648,L,3599
1648,M,3599
1648,O,3599
1648,P,3600
1648,Q,3598
1648,R,3599
1648,S,3598
1649,A,3602
1649,B,3602
1649,C,3601
1649,D,3601
1649,E,3601
1649,F,3601
1649,G,3601
1649,H,3601
1649,I,3601
1649,J,3601
1649,K,3601
1649,L,3601
1649,M,3912
1649,O,3600
1649,P,3602
1649,Q,3601
1649,R,3601
1649,S,3601
1650,A,5365
1650,B,3599
1650,C,3599
1650,D,3599
1650,E,3599
1650,F,3599
1650,G,3599
1650,H,3613
1650,I,3598
1650,J,3598
1650,K,3599
1650,L,3598
1650,M,3599
1650,O,3599
1650,P,3598
1650,Q,3598
1650,R,3598
1650,S,3599
